user_id,group,visit_date,conversion,product_category,product_id,product_name,quantity,price,discount,total_value,payment_method,shipping_method,region,customer_age,customer_gender,device,session_duration,coupon_used,browser,referral_source,conversion_str
1,a,2022-01-07,0,books,1474,mystery,0,41.27,0.29,0.0,,,south,64.0,m,desktop,29,,safari,email,no
2,b,2022-02-04,0,beauty,1400,lipstick,0,45.45,0.22,0.0,,,east,19.0,f,desktop,10,,safari,social,no
3,b,2022-02-24,0,fashhion,1438,sneakers,0,64.81,0.08,0.0,,,west,69.0,m,tablet,6,,other,email,no
4,b,2022-01-14,1,sports,1877,football,5,189.4,0.08,871.24,credit_card,express,west,53.0,m,tablet,16,no,firefox,paid,yes
5,a,2022-01-10,0,beauty,1604,mascara,0,19.82,0.19,0.0,,,west,18.0,f,mobile,25,,edge,email,no
6,a,2022-03-21,0,fashhion,1931,dress,0,24.73,0.04,0.0,,,east,56.0,m,tablet,12,,firefox,paid,no
7,a,2022-01-16,0,fashhion,1996,t-shirt,0,66.99,0.28,0.0,,,west,40.0,f,desktop,4,,other,paid,no
8,b,2022-02-23,0,toys,1921,puzzle,0,56.12,0.07,0.0,,,central,43.0,m,desktop,5,,edge,paid,no
9,b,2022-03-30,0,beauty,1820,perfume,0,137.07,0.3,0.0,,,north,,f,tablet,2,,firefox,organic,no
10,b,2022-03-18,1,beauty,1656,perfume,1,128.5,0.15,109.22,credit_card,same_day,south,59.0,f,desktop,19,yes,edge,email,yes
11,a,2022-03-11,0,books,1597,novel,0,27.07,0.23,0.0,,,central,18.0,m,tablet,1,,safari,social,no
12,b,2022-02-13,0,fashhion,1508,dress,0,26.67,0.0,0.0,,,west,28.0,f,desktop,4,,safari,paid,no
13,b,2022-03-14,0,fashhion,1152,t-shirt,0,116.35,0.27,0.0,,,north,41.0,f,mobile,12,,chrome,social,no
14,a,2022-02-14,0,fashhion,1513,sneakers,0,146.86,0.08,0.0,,,south,27.0,f,tablet,2,,other,paid,no
15,a,2022-02-25,0,books,1502,novel,0,20.26,0.2,0.0,,,central,,m,tablet,12,,firefox,social,no
16,a,2022-03-25,0,toys,1853,action_figure,0,15.55,0.24,0.0,,,south,31.0,m,tablet,16,,edge,organic,no
17,a,2022-03-23,0,beauty,1900,mascara,0,49.0,0.05,0.0,,,east,24.0,f,desktop,2,,chrome,paid,no
18,b,2022-02-26,0,fashhion,1771,sneakers,0,158.89,0.13,0.0,,,west,40.0,f,mobile,17,,other,organic,no
19,a,2022-01-21,0,electronics,1675,laptop,0,481.0,0.15,0.0,,,central,60.0,m,tablet,26,,other,organic,no
20,a,2022-03-09,0,beauty,1005,perfume,0,123.68,0.09,0.0,,,central,39.0,m,desktop,28,,other,email,no
21,b,2022-02-19,1,books,1499,science_fiction,4,19.38,0.14,66.67,credit_card,express,north,53.0,m,tablet,2,yes,firefox,social,yes
22,a,2022-02-02,0,toys,1660,action_figure,0,20.54,0.1,0.0,,,north,44.0,m,desktop,4,,safari,paid,no
23,a,2022-01-07,0,electronics,1716,smartphone,0,548.68,0.11,0.0,,,north,19.0,m,mobile,6,,chrome,organic,no
24,a,2022-03-11,0,books,1117,mystery,0,25.35,0.2,0.0,,,south,56.0,m,desktop,29,,firefox,social,no
25,a,2022-01-15,0,home,1484,lamp,0,57.25,0.19,0.0,,,west,68.0,m,desktop,28,,edge,email,no
26,b,2022-03-23,0,beauty,1600,perfume,0,26.39,0.07,0.0,,,south,63.0,m,tablet,23,,firefox,social,no
27,a,2022-02-01,0,home,1665,table,0,133.22,0.27,0.0,,,west,36.0,f,desktop,7,,edge,social,no
28,b,2022-03-16,0,books,1950,novel,0,10.11,0.26,0.0,,,central,24.0,m,tablet,23,,edge,email,no
29,b,2022-01-20,1,books,1678,science_fiction,4,20.37,0.15,69.26,credit_card,standard,south,29.0,m,desktop,15,yes,other,email,yes
