user_id,group,visit_date,conversion,product_category,product_id,product_name,quantity,discount,total_value,payment_method,shipping_method,region,customer_age,customer_gender,device,session_duration,coupon_used,browser,referral_source,conversion_str,price_knn
1,a,2022-01-07,0,books,1474,mystery,0,0.29,0.0,no_conversion,no_conversion,south,64.0,m,desktop,29,no_conversion,safari,email,no,41.27
2,b,2022-02-04,0,beauty,1400,lipstick,0,0.22,0.0,no_conversion,no_conversion,east,19.0,f,desktop,10,no_conversion,safari,social,no,45.45
3,b,2022-02-24,0,fashhion,1438,sneakers,0,0.08,0.0,no_conversion,no_conversion,west,69.0,m,tablet,6,no_conversion,other,email,no,64.81
4,b,2022-01-14,1,sports,1877,football,5,0.08,871.24,credit_card,express,west,53.0,m,tablet,16,no,firefox,paid,yes,189.4
5,a,2022-01-10,0,beauty,1604,mascara,0,0.19,0.0,no_conversion,no_conversion,west,18.0,f,mobile,25,no_conversion,edge,email,no,19.82
6,a,2022-03-21,0,fashhion,1931,dress,0,0.04,0.0,no_conversion,no_conversion,east,56.0,m,tablet,12,no_conversion,firefox,paid,no,24.73
7,a,2022-01-16,0,fashhion,1996,t-shirt,0,0.28,0.0,no_conversion,no_conversion,west,40.0,f,desktop,4,no_conversion,other,paid,no,66.99
8,b,2022-02-23,0,toys,1921,puzzle,0,0.07,0.0,no_conversion,no_conversion,central,43.0,m,desktop,5,no_conversion,edge,paid,no,56.12
9,b,2022-03-30,0,beauty,1820,perfume,0,0.3,0.0,no_conversion,no_conversion,north,42.0,f,tablet,2,no_conversion,firefox,organic,no,137.07
10,b,2022-03-18,1,beauty,1656,perfume,1,0.15,109.22,credit_card,same_day,south,59.0,f,desktop,19,yes,edge,email,yes,128.5
11,a,2022-03-11,0,books,1597,novel,0,0.23,0.0,no_conversion,no_conversion,central,18.0,m,tablet,1,no_conversion,safari,social,no,27.07
12,b,2022-02-13,0,fashhion,1508,dress,0,0.0,0.0,no_conversion,no_conversion,west,28.0,f,desktop,4,no_conversion,safari,paid,no,26.67
13,b,2022-03-14,0,fashhion,1152,t-shirt,0,0.27,0.0,no_conversion,no_conversion,north,41.0,f,mobile,12,no_conversion,chrome,social,no,116.35
14,a,2022-02-14,0,fashhion,1513,sneakers,0,0.08,0.0,no_conversion,no_conversion,south,27.0,f,tablet,2,no_conversion,other,paid,no,146.86
15,a,2022-02-25,0,books,1502,novel,0,0.2,0.0,no_conversion,no_conversion,central,42.0,m,tablet,12,no_conversion,firefox,social,no,20.26
16,a,2022-03-25,0,toys,1853,action_figure,0,0.24,0.0,no_conversion,no_conversion,south,31.0,m,tablet,16,no_conversion,edge,organic,no,15.55
17,a,2022-03-23,0,beauty,1900,mascara,0,0.05,0.0,no_conversion,no_conversion,east,24.0,f,desktop,2,no_conversion,chrome,paid,no,49.0
18,b,2022-02-26,0,fashhion,1771,sneakers,0,0.13,0.0,no_conversion,no_conversion,west,40.0,f,mobile,17,no_conversion,other,organic,no,158.89
19,a,2022-01-21,0,electronics,1675,laptop,0,0.15,0.0,no_conversion,no_conversion,central,60.0,m,tablet,26,no_conversion,other,organic,no,481.0
20,a,2022-03-09,0,beauty,1005,perfume,0,0.09,0.0,no_conversion,no_conversion,central,39.0,m,desktop,28,no_conversion,other,email,no,123.68
21,b,2022-02-19,1,books,1499,science_fiction,4,0.14,66.67,credit_card,express,north,53.0,m,tablet,2,yes,firefox,social,yes,19.38
22,a,2022-02-02,0,toys,1660,action_figure,0,0.1,0.0,no_conversion,no_conversion,north,44.0,m,desktop,4,no_conversion,safari,paid,no,20.54
23,a,2022-01-07,0,electronics,1716,smartphone,0,0.11,0.0,no_conversion,no_conversion,north,19.0,m,mobile,6,no_conversion,chrome,organic,no,548.68
24,a,2022-03-11,0,books,1117,mystery,0,0.2,0.0,no_conversion,no_conversion,south,56.0,m,desktop,29,no_conversion,firefox,social,no,25.35
25,a,2022-01-15,0,home,1484,lamp,0,0.19,0.0,no_conversion,no_conversion,west,68.0,m,desktop,28,no_conversion,edge,email,no,57.25
26,b,2022-03-23,0,beauty,1600,perfume,0,0.07,0.0,no_conversion,no_conversion,south,63.0,m,tablet,23,no_conversion,firefox,social,no,26.39
27,a,2022-02-01,0,home,1665,table,0,0.27,0.0,no_conversion,no_conversion,west,36.0,f,desktop,7,no_conversion,edge,social,no,133.22
28,b,2022-03-16,0,books,1950,novel,0,0.26,0.0,no_conversion,no_conversion,central,24.0,m,tablet,23,no_conversion,edge,email,no,10.11
29,b,2022-01-20,1,books,1678,science_fiction,4,0.15,69.26,credit_card,standard,south,29.0,m,desktop,15,yes,other,email,yes,20.37
30,a,2022-03-29,0,books,1467,mystery,0,0.13,0.0,no_conversion,no_conversion,south,20.0,m,mobile,20,no_conversion,firefox,email,no,48.41
31,b,2022-01-15,1,fashhion,1160,jeans,2,0.11,198.75,cash_on_delivery,same_day,south,64.0,f,desktop,12,no,safari,organic,yes,111.66
32,a,2022-02-17,0,toys,1269,action_figure,0,0.21,0.0,no_conversion,no_conversion,east,22.0,f,tablet,5,no_conversion,edge,social,no,64.62
33,a,2022-03-12,1,fashhion,1055,jeans,2,0.2,134.64,cash_on_delivery,express,west,25.0,f,desktop,14,no,other,email,yes,84.15
34,b,2022-01-21,0,toys,1227,action_figure,0,0.06,0.0,no_conversion,no_conversion,west,31.0,m,desktop,16,no_conversion,safari,social,no,35.73
35,b,2022-02-11,0,sports,1848,gym_bag,0,0.2,0.0,no_conversion,no_conversion,south,53.0,f,mobile,11,no_conversion,firefox,social,no,36.25
