User Id,Group,Visit Date,Conversion,Product Category,Product Id,Product Name,Quantity,Price,Discount,Total Value,Payment Method,Shipping Method,Region,Customer Age,Customer Gender,Device,Session Duration,Coupon Used,Browser,Referral Source
1,A,2022-01-07,0,BOOKS,P1474,Mystery,0,"41,27","0,29","0,0",,,South,64.0,M,Desktop,29,,Safaaaaari,Email
2,B,2022-02-04,0,BEAUTY,P1400,Lipstick,0,"45,45","0,22","0,0",,,East,19.0,F,Desktop,10,,Safaaaaari,Social
3,B,2022-02-24,0,FASHHION,P1438,Sneakers,0,"64,81","0,08","0,0",,,West,69.0,M,TABLET,6,,Ottttther,Email
4,B,2022-01-14,1,SPORTS,P1877,Football,5,"189,4","0,08","871,24",Credit Card,Express,West,53.0,M,TABLET,16,No,Firefoxxxxxx,PAID
5,A,2022-01-10,0,BEAUTY,P1604,Mascara,0,"19,82","0,19","0,0",,,West,18.0,F,Mobile,25,,Eddddge,Email
6,A,2022-03-21,0,FASHHION,P1931,Dress,0,"24,73","0,04","0,0",,,East,56.0,M,TABLET,12,,Firefoxxxxxx,PAID
7,A,2022-01-16,0,FASHHION,P1996,T-shirt,0,"66,99","0,28","0,0",,,West,40.0,F,Desktop,4,,Ottttther,PAID
8,B,2022-02-23,0,TOYS,P1921,Puzzle,0,"56,12","0,07","0,0",,,Central,43.0,M,Desktop,5,,Eddddge,PAID
9,B,2022-03-30,0,BEAUTY,P1820,Perfume,0,"137,07","0,3","0,0",,,North,,F,TABLET,2,,Firefoxxxxxx,Organic
10,B,2022-03-18,1,BEAUTY,P1656,Perfume,1,"128,5","0,15","109,22",Credit Card,Same day,South,59.0,F,Desktop,19,Yes,Eddddge,Email
11,A,2022-03-11,0,BOOKS,P1597,Novel,0,"27,07","0,23","0,0",,,Central,18.0,M,TABLET,1,,Safaaaaari,Social
12,B,2022-02-13,0,FASHHION,P1508,Dress,0,"26,67","0,0","0,0",,,West,28.0,F,Desktop,4,,Safaaaaari,PAID
13,B,2022-03-14,0,FASHHION,P1152,T-shirt,0,"116,35","0,27","0,0",,,North,41.0,F,Mobile,12,,Chrooome,Social
14,A,2022-02-14,0,FASHHION,P1513,Sneakers,0,"146,86","0,08","0,0",,,South,27.0,F,TABLET,2,,Ottttther,PAID
15,A,2022-02-25,0,BOOKS,P1502,Novel,0,"20,26","0,2","0,0",,,Central,,M,TABLET,12,,Firefoxxxxxx,Social
16,A,2022-03-25,0,TOYS,P1853,Action Figure,0,"15,55","0,24","0,0",,,South,31.0,M,TABLET,16,,Eddddge,Organic
17,A,2022-03-23,0,BEAUTY,P1900,Mascara,0,"49,0","0,05","0,0",,,East,24.0,F,Desktop,2,,Chrooome,PAID
18,B,2022-02-26,0,FASHHION,P1771,Sneakers,0,"158,89","0,13","0,0",,,West,40.0,F,Mobile,17,,Ottttther,Organic
19,A,2022-01-21,0,ELECTRONICS,P1675,Laptop,0,"481,0","0,15","0,0",,,Central,60.0,M,TABLET,26,,Ottttther,Organic
20,A,2022-03-09,0,BEAUTY,P1005,Perfume,0,"123,68","0,09","0,0",,,Central,39.0,M,Desktop,28,,Ottttther,Email
21,B,2022-02-19,1,BOOKS,P1499,Science Fiction,4,"19,38","0,14","66,67",Credit Card,Express,North,53.0,M,TABLET,2,Yes,Firefoxxxxxx,Social
22,A,2022-02-02,0,TOYS,P1660,Action Figure,0,"20,54","0,1","0,0",,,North,44.0,M,Desktop,4,,Safaaaaari,PAID
23,A,2022-01-07,0,ELECTRONICS,P1716,Smartphone,0,"548,68","0,11","0,0",,,North,19.0,M,Mobile,6,,Chrooome,Organic
24,A,2022-03-11,0,BOOKS,P1117,Mystery,0,"25,35","0,2","0,0",,,South,56.0,M,Desktop,29,,Firefoxxxxxx,Social
25,A,2022-01-15,0,HOME,P1484,Lamp,0,"57,25","0,19","0,0",,,West,68.0,M,Desktop,28,,Eddddge,Email
26,B,2022-03-23,0,BEAUTY,P1600,Perfume,0,"26,39","0,07","0,0",,,South,63.0,M,TABLET,23,,Firefoxxxxxx,Social
27,A,2022-02-01,0,HOME,P1665,Table,0,"133,22","0,27","0,0",,,West,36.0,F,Desktop,7,,Eddddge,Social
28,B,2022-03-16,0,BOOKS,P1950,Novel,0,"10,11","0,26","0,0",,,Central,24.0,M,TABLET,23,,Eddddge,Email
29,B,2022-01-20,1,BOOKS,P1678,Science Fiction,4,"20,37","0,15","69,26",Credit Card,Standard,South,29.0,M,Desktop,15,Yes,Ottttther,Email
30,A,2022-03-29,0,BOOKS,P1467,Mystery,0,"48,41","0,13","0,0",,,South,20.0,M,Mobile,20,,Firefoxxxxxx,Email
31,B,2022-01-15,1,FASHHION,P1160,Jeans,2,"111,66","0,11","198,75",Cash on Delivery,Same day,South,64.0,F,Desktop,12,No,Safaaaaari,Organic
32,A,2022-02-17,0,TOYS,P1269,Action Figure,0,"64,62","0,21","0,0",,,East,22.0,F,TABLET,5,,Eddddge,Social
33,A,2022-03-12,1,FASHHION,P1055,Jeans,2,"84,15","0,2","134,64",Cash on Delivery,Express,West,25.0,F,Desktop,14,No,Ottttther,Email
34,B,2022-01-21,0,TOYS,P1227,Action Figure,0,"35,73","0,06","0,0",,,West,31.0,M,Desktop,16,,Safaaaaari,Social
35,B,2022-02-11,0,SPORTS,P1848,Gym Bag,0,"36,25","0,2","0,0",,,South,53.0,F,Mobile,11,,Firefoxxxxxx,Social
36,B,2022-01-26,1,FASHHION,P1148,Jeans,3,"110,06","0,08","303,77",Cash on Delivery,Express,East,24.0,M,TABLET,12,No,Safaaaaari,Organic
37,A,2022-01-14,0,HOME,P1045,Sofa,0,"267,62","0,01","0,0",,,South,24.0,M,Mobile,19,,Firefoxxxxxx,Social
38,A,2022-02-26,1,TOYS,P1143,Doll,3,"19,99","0,21","47,38",Cash on Delivery,Same day,West,67.0,F,Desktop,17,No,Eddddge,Organic
39,B,2022-02-06,0,FASHHION,P1749,Dress,0,"157,58","0,19","0,0",,,Central,,F,Mobile,30,,Chrooome,Email
40,A,2022-02-27,0,BEAUTY,P1783,Lotion,0,"78,97","0,12","0,0",,,East,49.0,F,Desktop,24,,Chrooome,Email
41,A,2022-01-21,0,BOOKS,P1631,Novel,0,"20,25","0,16","0,0",,,East,25.0,F,Desktop,26,,Eddddge,Social
42,A,2022-03-23,1,TOYS,P1339,Puzzle,1,"18,96","0,28","13,65",Bank Transfer,Standard,South,29.0,F,Mobile,27,Yes,Safaaaaari,Organic
43,A,2022-03-10,0,TOYS,P1412,Action Figure,0,"57,46","0,18","0,0",,,Central,27.0,M,Mobile,7,,Firefoxxxxxx,Organic
44,B,2022-01-03,0,FASHHION,P1731,Dress,0,"155,51","0,2","0,0",,,West,31.0,M,Desktop,30,,Chrooome,PAID
45,A,2022-03-28,0,SPORTS,P1519,Running Shoes,0,"106,14","0,02","0,0",,,North,26.0,M,Mobile,9,,Firefoxxxxxx,PAID
46,B,2022-03-31,0,FASHHION,P1343,Dress,0,"59,38","0,05","0,0",,,West,,F,Mobile,14,,Eddddge,Email
47,A,2022-02-06,0,HOME,P1386,Lamp,0,"284,87","0,09","0,0",,,West,47.0,M,Desktop,26,,Safaaaaari,Email
48,B,2022-03-29,0,HOME,P1472,Lamp,0,"119,9","0,16","0,0",,,Central,22.0,F,TABLET,20,,Firefoxxxxxx,PAID
49,B,2022-02-18,0,TOYS,P1274,Action Figure,0,"68,33","0,23","0,0",,,East,18.0,M,Mobile,12,,Safaaaaari,Organic
50,A,2022-01-19,0,TOYS,P1352,Board Game,0,"62,51","0,1","0,0",,,West,18.0,M,Mobile,15,,Chrooome,Social
